strain	Thiabendazole_mean.TOF	mean_norm	cbn2	cypvartype	cypben1type
BRC20067	0.00643338722298648	0.6325063227288162	neither	K267	K267_b1
BRC20263	-6.98896049111827	0.574402811234578	neither	K267E	K267E_nob1
CB4852	33.873213855788	0.9138026875154562	neither	K267	K267_nob1
CB4854	23.7143675661907	0.8294236443305741	neither	K267	K267_nob1
CB4856	9.40909460866867	0.7106045176064779	CB4856	K267E	K267E_b1
CB4932	28.2979087242885	0.8674943864496726	neither	K267	K267_nob1
CX11262	-50.9746048186681	0.2090594960168112	neither	K267D	K267D_nob1
CX11264	-53.5038279051659	0.1880518522395513	neither	K267D	K267D_nob1
CX11271	10.3074962140539	0.7180666117948499	neither	K267	K267_b1
CX11276	1.97906239274844	0.6488909143743683	neither	K267	K267_nob1
CX11285	2.8585252262316	0.6561957037461658	neither	K267	K267_nob1
CX11292	20.5054239047834	0.8027702638122561	neither	K267	K267_nob1
CX11314	-33.0252343330462	0.3581463769649601	neither	K267D	K267D_nob1
DL200	6.15623433907111	0.683586367184828	neither	K267	K267_nob1
DL226	10.6856279973921	0.7212073619515427	neither	K267	K267_nob1
DL238	-27.7117916289648	0.40227965732054394	neither	K267D	K267D_nob1
ECA189	-30.5820115474709	0.37843970507107105	neither	K267D	K267D_nob1
ECA248	6.15173243774687	0.6835489745404841	neither	K267	K267_nob1
ECA250	-4.46322671729343	0.5953814728955302	neither	K267	K267_nob1
ECA251	2.04864099369823	0.6494688319456083	neither	K267	K267_nob1
ECA259	-39.8976039517994	0.30106470092493076	neither	K267	K267_nob1
ECA348	7.55578561857161	0.695210994084967	neither	K267D	K267D_b1
ECA349	-2.71723512743481	0.6098836216200347	neither	K267	K267_nob1
ECA36	-31.771532926924	0.36855957961342006	neither	K267D	K267D_nob1
ECA369	-25.7590340014992	0.41849919795344576	neither	K267D	K267D_nob1
ECA372	-62.3310906487214	0.11473289819597209	neither	K267D	K267D_nob1
ED3005	1.11993433671354	0.6417550249953011	neither	K267D	K267D_b1
ED3011	43.3810093973259	0.9927741245982252	neither	K267	K267_b1
ED3012	-17.2875566205806	0.4888630104757649	neither	K267	K267_b1
ED3017	17.3152201717171	0.7762725365224338	neither	K267	K267_nob1
ED3040	8.61639364559767	0.7040203694769647	neither	K267	K267_nob1
