metabolite	CB4856-D1	CB4856-D2	PHX2701-D1	PHX2701-D2	PHX2701-D3	PHX2702-D1	PHX2702-D2	PHX2702-D3	PHX2882-D1	PHX2882-D2	PD1074-D1	PHX2882-D3	PHX2883-D1	PHX2883-D2	PHX2883-D3	PD1074-D2	PD1074-D3	CB4856-D3	CB4856-T1	CB4856-T2	CB4856-T3	PHX2701-T1	PHX2701-T2	PHX2701-T3	PHX2702-T1	PHX2702-T2	PHX2702-T3	PHX2882-T1	PHX2882-T2	PHX2882-T3	PHX2883-T1	PHX2883-T2	PHX2883-T3	PD1074-T1	PD1074-T2	PD1074-T3
Compound 5	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	944969.7686	776076.1148	870548.2793	680119.9699	819686.0904	784270.3445	789617.9151	690889.5932	1006097.654	1200145.255	2099574.438	1224280.784	2009277.127	2069973.737	1924840.334	903531.7617	969806.8488	725612.1731
Compound 3 (non-CYP)	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	474136.2726	451393.3953	481109.998	361466.5299	401157.485	424758.9843	427438.5808	400128.8494	458601.5364	314498.6377	467472.6367	282198.0553	454798.1244	411512.2259	399595.6164	340235.7436	384766.2094	291739.5251
Compound 4	1000	1217.255859	15583.25188	3850.018206	1216.655552	4402.346122	2126.597168	1000	29080.21631	6036.280971	1000	5687.808315	46553.41685	19450.56145	7762.818917	1000	976.9374302	4550.840123	14134510.11	13414896.01	14186264.54	12176599.42	14618864.43	12445054.5	10983178.81	11111060.08	13012453.93	21356006.16	31898843.96	20614913.14	28328695.01	28488259.58	25468918.45	14266207.14	14905772.95	10982668.04
Compound 8	1000	1000	8141.97207	2297.019141	1000	1000	1000	1000	2179.290234	1000	1000	1000	2446.278809	1000	1000	1000	1000	1000.834375	2066946.592	2257118.177	1976408.827	283604.4619	341385.2078	230758.1936	548016.4584	664515.2051	471763.2953	753883.7188	970318.4797	805586.0688	1432141.589	1045990.615	1058130.673	661665.2896	915744.7069	657175.0047
Compound 6	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	301215.4443	307526.5594	348003.4422	92217.36685	86261.5326	64030.32112	165446.4807	126079.6648	117373.9008	272074.5418	401113.3869	282272.4805	482006.6631	489656.42	363961.9397	188807.7631	216659.6107	164348.3094
Compound 7	2950.831934	1008.303223	12321.74805	3855.316992	1772.006641	2136.033203	1000	1000	15506.69072	2667.317773	1000	1082.436426	27288.91133	10476.49785	3429.498438	1000	1000	16042.29756	3968855.282	3844825.8	3889034.668	2436640.698	2612119.061	2569535.064	3422495.278	2698842.486	2851584.605	3762816.488	4340569.23	3658710.306	4100657.405	3555360.141	3957653.743	4384497.01	5407217.563	3671180.097
ascr#3	2411109.994	2139219.539	2161963.775	2084450.63	1566519.348	1499209.449	1836863.863	1606458.659	3032272.877	2237896.008	2139359.592	2388195.161	3900319.141	4696141.248	3151190.974	1563603.467	1671561.666	2349083.339	1957565.821	1578254.644	1851411.937	1612684.91	1919628.371	2424666.854	1333512.866	1488804.284	1980915.14	2047597.681	3602096.656	2975053.891	3516770.333	4684603.521	4386741.195	1807170.166	1726393.079	1794452.555
Compound 2	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	41712.50752	39828.66182	47896.04355	33856.39434	49767.5791	33672.63359	56831.21846	46887.05059	47619.47949	57804.70801	107877.5689	56185.78682	67858.0667	78307.73555	63730.26006	35126.91523	26400.07285	26162.45049
