Genotype,exposure,Exp (n),Replicate,TBZ,TBZ-OH,TBZ-OH,TBZ-O-glucoside,TBZ-O-phosphoglucoside,ascr#2
CB4856,2,1,1,10.70315,7.445426,7.882631,7.45009,#VALUE!,7.556293
CB4856,2,1,2,10.26919,7.003798,7.425841,7.001246,#VALUE!,7.621919
CB4856,2,1,3,10.63239,7.219937,7.84193,7.379784,#VALUE!,7.562897
CB4856,2,2,1,11.05425,7.58209,8.209876,7.617419,#VALUE!,7.322589
CB4856,2,2,2,11.10698,7.864554,8.308688,7.602217,#VALUE!,7.344475
CB4856,2,2,3,11.07104,7.644796,8.294451,7.592857,#VALUE!,7.327209
CB4856,2,3,1,10.88055,7.685844,8.164277,7.501097,#VALUE!,7.3574
CB4856,2,3,2,11.07423,7.739889,8.291744,7.788172,#VALUE!,7.341962
CB4856,2,3,3,10.5757,7.367536,7.830308,7.144198,#VALUE!,7.430353
N2,2,1,1,10.84667,7.540324,8.180797,7.344156,4.953927,7.349303
N2,2,1,2,10.52746,7.334309,7.780814,7.047766,#VALUE!,7.447669
N2,2,1,3,10.52582,7.37836,7.806177,7.073599,#VALUE!,7.421279
N2,2,2,1,10.19946,6.995877,7.436839,6.958674,#VALUE!,6.925477
N2,2,2,2,10.49628,7.337425,7.844513,7.137147,#VALUE!,7.506996
N2,2,2,3,10.75029,7.486944,8.088822,7.49128,#VALUE!,7.458605
N2,2,3,1,10.58077,7.470722,7.888327,7.237817,4.980028,7.381114
N2,2,3,2,10.28906,7.252336,7.641101,7.087855,#VALUE!,7.541964
N2,2,3,3,10.79126,7.452398,8.101133,7.51636,4.490329,7.512242
PHX2702,2,1,1,10.48775,7.300136,7.947986,7.031909,#VALUE!,7.259982
PHX2702,2,1,2,10.88331,7.51725,8.232456,7.241525,#VALUE!,7.219403
PHX2702,2,1,3,10.73503,7.496198,8.078494,7.263853,#VALUE!,7.288569
PHX2702,2,2,1,10.84893,7.563444,8.208055,7.575143,#NUM!,7.250425
PHX2702,2,2,2,10.77849,7.473788,8.115733,7.492284,#NUM!,7.343826
PHX2702,2,2,3,10.89579,7.601136,8.253288,7.581984,#NUM!,7.286984
PHX2702,2,3,1,10.70386,7.635933,8.145678,7.441949,#NUM!,7.314935
PHX2702,2,3,2,10.77302,7.518537,8.094353,7.516559,#NUM!,7.377845
PHX2702,2,3,3,10.75315,7.608408,8.161309,7.511233,#VALUE!,7.385728
PHX2883,2,1,1,10.84653,7.656308,8.225444,7.488727,#VALUE!,7.254671
PHX2883,2,1,2,10.77616,7.535494,8.199456,7.443219,#VALUE!,7.314962
PHX2883,2,1,3,10.89604,7.571867,8.114719,7.50112,#VALUE!,7.257645
PHX2883,2,2,1,10.73823,7.665809,8.203522,7.393374,#VALUE!,7.378528
PHX2883,2,2,2,10.66452,7.645532,8.093398,7.414164,#VALUE!,7.353288
PHX2883,2,2,3,10.8587,7.679407,8.199374,7.614901,#NUM!,7.364814
PHX2883,2,3,1,10.30611,7.4026,7.708,7.373462,#NUM!,7.425655
PHX2883,2,3,2,10.88972,7.732619,8.19795,7.736274,#NUM!,7.330517
PHX2883,2,3,3,10.74491,7.786943,8.151606,7.70666,#NUM!,7.313584
CB4856,6,1,1,10.22719,7.851221,7.401852,7.762752,#VALUE!,7.692649
CB4856,6,1,2,10.82164,8.463402,7.98321,8.440851,4.968791,7.593109
CB4856,6,1,3,10.47522,8.160541,7.74119,8.013426,4.422838,7.626652
CB4856,6,2,1,10.552,8.117701,7.650107,7.810969,#VALUE!,7.430791
CB4856,6,2,2,10.64646,8.273391,7.937404,7.962611,#VALUE!,7.341591
CB4856,6,3,1,10.73144,8.486713,8.043443,8.194542,#VALUE!,7.466003
CB4856,6,3,2,10.96628,8.622341,8.186613,8.474699,#VALUE!,7.431548
CB4856,6,3,3,11.04961,8.690968,8.186298,8.65954,4.79432,7.371473
N2,6,1,1,10.94001,8.511398,8.189446,8.278945,#VALUE!,7.327242
N2,6,1,2,10.88272,8.544861,8.289026,8.352719,#VALUE!,7.30255
N2,6,1,3,10.51742,8.254472,7.873251,7.844267,#VALUE!,7.476471
