Genotype,exposure,Exp (n),Replicate,TBZ,TBZ-OH,TBZ-OH,TBZ-O-glucoside,TBZ-O-phosphoglucoside,ascr#2
N2,6,2,1,10.37215,8.245101,7.608686,7.859243,5.148231,7.56111
N2,6,2,2,10.82782,8.602151,8.04349,8.353028,5.08866,7.452865
N2,6,2,3,10.79855,8.556096,8.065451,8.19859,5.395428,7.468938
N2,6,3,1,10.72985,8.473806,7.972609,8.167103,4.734331,7.450067
N2,6,3,2,10.87043,8.65773,8.149927,8.316201,5.126131,7.475791
N2,6,3,3,10.83694,8.611409,8.2071,8.303191,5.135366,7.412863
PHX2702,6,1,1,10.67482,7.927993,8.031289,7.832031,4.063491,7.313944
PHX2702,6,1,2,10.98396,8.171848,8.304239,8.060048,#VALUE!,7.154925
PHX2702,6,1,3,10.49064,7.908263,7.914988,7.578018,#VALUE!,7.379843
PHX2702,6,2,1,10.74421,8.403386,8.088317,8.020127,#NUM!,7.293845
PHX2702,6,2,2,10.79497,8.325712,8.142766,8.116617,#NUM!,7.306967
PHX2702,6,2,3,10.92737,8.478795,8.235117,8.201165,#NUM!,7.274767
PHX2702,6,3,1,10.6691,8.351334,8.009027,8.013206,4.195766,7.367873
PHX2702,6,3,2,10.85059,8.515929,8.225529,8.251535,5.082271,7.387358
PHX2702,6,3,3,10.83248,8.477674,8.168949,8.262723,4.793437,7.335793
PHX2883,6,1,1,10.7932,8.409742,8.119968,8.219137,4.462256,7.244409
PHX2883,6,1,2,10.86569,8.405986,8.200443,8.338522,#VALUE!,7.248981
PHX2883,6,1,3,10.64399,8.307487,7.985502,8.139513,#VALUE!,7.316714
PHX2883,6,2,3,10.77025,8.653184,8.127957,8.282326,4.759809,7.322542
PHX2883,6,3,1,10.82581,8.721617,8.166563,8.405589,4.705124,7.312862
PHX2883,6,3,2,10.75329,8.68593,8.134301,8.340203,4.703932,7.352671
PHX2883,6,3,3,10.5736,8.605542,8.031774,8.146264,4.51232,7.284301
