strain	Thiabendazole_mean.TOF	mean_norm	cbn2	cypvartype	cypben1type
NIC251	-13.664092949073767	0.4098250979200119	No ben-1 variation	K267E	K267E_nob1
NIC252	-18.619115649855186	0.38150630181364426	No ben-1 variation	K267E	K267E_nob1
NIC255	0.751891578891073	0.49221489735637086	No ben-1 variation	K267	K267_nob1
NIC256	-40.3855506949065	0.25710742955295907	No ben-1 variation	K267D	K267D_nob1
NIC258	-38.10290847685393	0.27015311742571557	No ben-1 variation	K267D	K267D_nob1
NIC259	10.437078489155612	0.5475673851099766	No ben-1 variation	K267	K267_nob1
NIC260	-40.33184473145282	0.2574143682534621	No ben-1 variation	K267D	K267D_nob1
NIC261	-35.16490945002467	0.2869442807413475	No ben-1 variation	K267D	K267D_nob1
NIC262	-42.143570424031864	0.24706004828622508	No ben-1 variation	K267D	K267D_nob1
NIC266	-53.412535273102115	0.1826560006841187	No ben-1 variation	K267D	K267D_nob1
NIC267	13.52656716515568	0.5652243374938235	No ben-1 variation	K267	K267_nob1
NIC268	-49.60637602825714	0.20440884706081297	No ben-1 variation	K267D	K267D_nob1
NIC269	-13.168676971060819	0.41265648435684354	No ben-1 variation	K267	K267_nob1
NIC271	-41.276983747638006	0.2520127382897285	No ben-1 variation	K267D	K267D_nob1
NIC272	-20.279040972526023	0.37201954673639737	No ben-1 variation	K267	K267_nob1
NIC274	8.214940310091396	0.5348674880937287	No ben-1 variation	K267	K267_nob1
NIC275	4.012383285278021	0.5108491610954882	No ben-1 variation	K267	K267_nob1
NIC276	35.0229812425946	0.6880799940745778	No ben-1 variation	K267	K267_nob1
NIC277	-3.4861462355635204	0.4679937916206315	No ben-1 variation	K267	K267_nob1
NIC3	-7.690798376824301	0.44396349067613966	No ben-1 variation	K267	K267_nob1
NIC501	-32.532237606247016	0.30199044736075714	No ben-1 variation	K267E	K267E_nob1
NIC511	-4.018196862249318	0.464953031946008	No ben-1 variation	K267	K267_nob1
NIC513	-4.138713627271442	0.4642642581699519	No ben-1 variation	K267	K267_nob1
NIC514	-32.385712874570324	0.30282786108244164	No ben-1 variation	K267	K267_nob1
NIC522	0.0014940602000552694	0.48792624811825863	No ben-1 variation	K267	K267_nob1
NIC526	-1.839967877299598	0.47740198046203464	No ben-1 variation	K267	K267_nob1
NIC527	12.189752355515994	0.5575842138632721	No ben-1 variation	K267	K267_nob1
NIC528	-32.572152825363354	0.30176232510583423	No ben-1 variation	K267D	K267D_nob1
PB303	13.40231551793596	0.5645142182318187	No ben-1 variation	K267	K267_nob1
PS2025	32.45379290512298	0.673396646473316	ben-1 variation	K267D	K267D_b1
QG2075	-0.7922832932824379	0.4833896757583423	ben-1 variation	K267E	K267E_b1
QG556	37.69626914214558	0.7033582883494083	ben-1 variation	K267D	K267D_b1
QG557	9.158391902788892	0.5402594741457027	No ben-1 variation	K267	K267_nob1
QW947	-47.054579161599044	0.2189927994532737	No ben-1 variation	K267D	K267D_nob1
QX1212	66.80632370861815	0.869727193134278	ben-1 variation	K267	K267_b1
QX1233	49.21669449597033	0.769199475434614	ben-1 variation	K267	K267_b1
QX1791	-33.458362459097934	0.2966974865691166	No ben-1 variation	K267D	K267D_nob1
QX1792	-42.65409444596277	0.2441423168130304	No ben-1 variation	K267D	K267D_nob1
QX1793	-11.796651996889892	0.4204978400564377	No ben-1 variation	K267D	K267D_nob1
QX1794	-56.292824201263635	0.1661946603816472	No ben-1 variation	K267D	K267D_nob1
RC301	-7.437968795550599	0.4454084546640179	No ben-1 variation	K267	K267_nob1
WN2001	-24.177810180048713	0.3497374186976685	No ben-1 variation	K267E	K267E_nob1
WN2033	41.81058815191591	0.7268723201087106	ben-1 variation	K267	K267_b1
WN2050	-29.484469754432858	0.31940895815011355	No ben-1 variation	K267E	K267E_nob1
XZ1513	-29.456672728947424	0.3195678228707457	No ben-1 variation	K267D	K267D_nob1
XZ1514	-28.436571100332145	0.3253978768932982	No ben-1 variation	K267E	K267E_nob1
XZ1516	-29.643964742793926	0.3184974172091059	No ben-1 variation	K267D	K267D_nob1
