strain	Thiabendazole_mean.TOF	mean_norm	cbn2	cypvartype	cypben1type
BRC20067	46.225962286225965	0.752106933024437	ben-1 variation	K267	K267_b1
BRC20263	-16.21695060255888	0.3952350829507113	No ben-1 variation	K267E	K267E_nob1
CB4852	24.645223744347078	0.6287693478109687	No ben-1 variation	K267	K267_nob1
CB4854	14.48637745474972	0.5707098162762961	No ben-1 variation	K267	K267_nob1
CB4856	0.18110449722771282	0.4889527522640337	ben-1 variation	K267E	K267E_b1
CB4932	19.069918612847502	0.5969055322880201	No ben-1 variation	K267	K267_nob1
CX11262	-60.202594930109036	0.14384965678048175	No ben-1 variation	K267D	K267D_nob1
CX11264	-62.731818016606894	0.1293947173747036	No ben-1 variation	K267D	K267D_nob1
CX11271	56.527025113056716	0.8109792562180117	ben-1 variation	K267	K267_b1
CX11276	-7.248927718692522	0.4464888565177627	No ben-1 variation	K267	K267_nob1
CX11285	-6.369464885209359	0.45151513594542525	No ben-1 variation	K267	K267_nob1
CX11292	11.277433793342466	0.5523701583671847	No ben-1 variation	K267	K267_nob1
CX11314	-42.25322444448713	0.24643335693988141	No ben-1 variation	K267D	K267D_nob1
DL200	-3.071755772369846	0.4703621034819988	No ben-1 variation	K267	K267_nob1
DL226	1.457637885951188	0.4962483573381597	No ben-1 variation	K267	K267_nob1
DL238	-36.93978174040579	0.2768005842254429	No ben-1 variation	K267D	K267D_nob1
ECA189	-39.81000165891185	0.26039679002288757	No ben-1 variation	K267D	K267D_nob1
ECA248	-3.076257673694091	0.47033637435150016	No ben-1 variation	K267	K267_nob1
ECA250	-13.691216828734387	0.4096700803420699	No ben-1 variation	K267	K267_nob1
ECA251	-7.179349117742722	0.44688651003675733	No ben-1 variation	K267	K267_nob1
ECA252	-62.23652120330769	0.13222542276496183	No ben-1 variation	K267	K267_nob1
ECA259	-49.125594063240385	0.20715659762849073	No ben-1 variation	K267	K267_nob1
ECA348	53.77531451757439	0.7952527629196244	ben-1 variation	K267D	K267D_b1
ECA349	-11.94522523887577	0.41964871875049564	No ben-1 variation	K267	K267_nob1
ECA36	-40.99952303836496	0.25359847335653096	No ben-1 variation	K267D	K267D_nob1
ECA369	-34.987024112940155	0.2879609256480226	No ben-1 variation	K267D	K267D_nob1
ECA372	-71.55908076016232	0.07894541191084381	No ben-1 variation	K267D	K267D_nob1
ED3005	47.339463235716316	0.7584707800251562	ben-1 variation	K267D	K267D_b1
ED3011	89.60053829632866	1	ben-1 variation	K267	K267_b1
ED3012	28.931972278422197	0.6532688435805035	ben-1 variation	K267	K267_b1
ED3017	8.087230060276172	0.534137602330614	No ben-1 variation	K267	K267_nob1
ED3040	-0.6115964658432835	0.48442233165809206	No ben-1 variation	K267	K267_nob1
ED3046	-6.65123670781825	0.4499047621338738	No ben-1 variation	K267	K267_nob1
ED3048	-2.1689661254568002	0.47552169960934615	No ben-1 variation	K267	K267_nob1
ED3049	-6.475208040184918	0.4509107958593697	No ben-1 variation	K267	K267_nob1
ED3052	14.021662167693497	0.5680538895013125	No ben-1 variation	K267	K267_nob1
ED3073	-9.170530265836103	0.43550657166941	No ben-1 variation	K267	K267_nob1
ED3077	-12.143344790120734	0.4185164318740891	No ben-1 variation	K267	K267_nob1
EG4349	-0.3379403486113761	0.4859863228353531	No ben-1 variation	K267E	K267E_nob1
EG4724	-1.9989780596826927	0.47649321026951197	ben-1 variation	K267D	K267D_b1
EG4725	-10.251776993855731	0.4293270630212183	No ben-1 variation	K267D	K267D_nob1
EG4946	64.16334002792776	0.8546220926159446	ben-1 variation	K267	K267_b1
GXW1	30.38431964352044	0.6615692553831279	ben-1 variation	K267	K267_b1
JT11398	6.734696003755677	0.5264076405349835	No ben-1 variation	K267	K267_nob1
JU1088	64.64146349511509	0.8573546494171095	ben-1 variation	K267	K267_b1
JU1172	-3.650131751210471	0.46705658655368576	No ben-1 variation	K267	K267_nob1
JU1200	14.1664950157599	0.5688816338208795	No ben-1 variation	K267	K267_nob1
JU1213	4.879008265267567	0.515802070010545	No ben-1 variation	K267E	K267E_nob1
JU1242	4.939453212407034	0.5161475231471033	No ben-1 variation	K267	K267_nob1
JU1249	0.8809661609646406	0.492952580510008	No ben-1 variation	K267	K267_nob1
JU1395	47.3915364603766	0.7587683873462132	ben-1 variation	K267	K267_b1
JU1409	-6.270022838739771	0.45208346412642986	No ben-1 variation	K267	K267_nob1
JU1440	-18.817125058316368	0.3803746444219495	No ben-1 variation	K267	K267_nob1
JU1491	21.760092151713984	0.6122803308587493	No ben-1 variation	K267	K267_nob1
JU1530	-4.8027278925983214	0.46046930389284113	No ben-1 variation	K267	K267_nob1
JU1543	11.197451576812888	0.5519130464186	No ben-1 variation	K267	K267_nob1
JU1568	26.909505392177973	0.6417101019072519	No ben-1 variation	K267	K267_nob1
JU1580	-27.1287996952215	0.332872012535346	No ben-1 variation	K267E	K267E_nob1
JU1581	16.337621489583878	0.5812899902798039	No ben-1 variation	K267	K267_nob1
JU1652	-14.188983741775036	0.4068252579123621	No ben-1 variation	K267E	K267E_nob1
JU1666	5.2833901540918715	0.5181131811699181	No ben-1 variation	K267	K267_nob1
JU1792	3.758205209071801	0.5093964902300939	No ben-1 variation	K267	K267_nob1
JU1793	-25.46150258058205	0.34240089865543655	No ben-1 variation	K267E	K267E_nob1
JU1808	16.325155941151657	0.5812187475538422	ben-1 variation	K267	K267_b1
JU1896	22.964084044821067	0.6191613489677567	No ben-1 variation	K267	K267_nob1
JU1934	-3.0007421631587783	0.4707679583168734	No ben-1 variation	K267	K267_nob1
JU2001	-16.85433629394192	0.39159231549526735	No ben-1 variation	K267E	K267E_nob1
JU2007	5.255901705223053	0.5179560800170468	No ben-1 variation	K267	K267_nob1
JU2016	-2.56487649018812	0.4732590046486438	No ben-1 variation	K267	K267_nob1
JU2017	7.440080835616761	0.5304390346246308	No ben-1 variation	K267	K267_nob1
JU2106	-40.03056058594533	0.259136258303605	No ben-1 variation	K267E	K267E_nob1
JU2131	-12.168292873595576	0.4183738493408028	No ben-1 variation	K267	K267_nob1
JU2141	-15.530566566754647	0.3991578842645258	No ben-1 variation	K267	K267_nob1
JU2234	-8.489449748091209	0.43939906247696886	No ben-1 variation	K267	K267_nob1
JU2250	6.986899917760277	0.5278490287281795	No ben-1 variation	K267	K267_nob1
JU2257	2.907973143580388	0.5045372696049392	No ben-1 variation	K267	K267_nob1
JU2464	24.83573291958769	0.6298581400962554	No ben-1 variation	K267	K267_nob1
JU2466	-7.8810228315440956	0.4428763256169755	No ben-1 variation	K267	K267_nob1
JU2513	-0.5118073458830645	0.48499264342302933	No ben-1 variation	K267	K267_nob1
JU2522	-6.740304960115191	0.44939572194805394	No ben-1 variation	K267E	K267E_nob1
JU2526	-11.106522265201566	0.42444204865825536	No ben-1 variation	K267D	K267D_nob1
JU2534	5.947821657952949	0.5219105200360996	No ben-1 variation	K267	K267_nob1
JU2565	-10.35128167064243	0.4287583768973165	No ben-1 variation	K267	K267_nob1
JU2566	3.5795811108332023	0.5083756231779804	No ben-1 variation	K267	K267_nob1
JU2570	12.652056948687148	0.5602263631133625	No ben-1 variation	K267	K267_nob1
JU2572	-6.0962005798922805	0.4530768878510627	No ben-1 variation	K267	K267_nob1
JU2575	-2.1698633610988605	0.47551657175529966	No ben-1 variation	K267	K267_nob1
JU2576	-85.37239071414065	0	No ben-1 variation	K267	K267_nob1
JU2578	0.1279919437273751	0.48864920500217607	No ben-1 variation	K267	K267_nob1
JU2581	67.53082569062795	0.8738678449831505	ben-1 variation	K267	K267_b1
JU2586	-70.02327788037711	0.08772278615079446	No ben-1 variation	K267D	K267D_nob1
JU2587	45.62802292889475	0.7486896080661548	ben-1 variation	K267	K267_b1
JU2593	75.30346307780782	0.9182897874581193	ben-1 variation	K267	K267_b1
JU2600	-2.2959859156103963	0.4747957599404389	No ben-1 variation	K267	K267_nob1
JU2610	-14.475820365915986	0.405185937900043	No ben-1 variation	K267	K267_nob1
JU2619	-32.4374375924498	0.3025322455368141	No ben-1 variation	K267E	K267E_nob1
JU2800	-7.50804588198543	0.4450079522158327	No ben-1 variation	K267	K267_nob1
JU2811	-17.818575439128747	0.38608152505105453	No ben-1 variation	K267E	K267E_nob1
JU2825	-14.310532668606413	0.40613058515630335	No ben-1 variation	K267	K267_nob1
JU2829	63.89965837348051	0.8531151071871788	ben-1 variation	K267	K267_b1
JU2838	-62.309076721529024	0.13181075565827474	No ben-1 variation	K267D	K267D_nob1
JU2841	16.689686074900774	0.5833020991660638	No ben-1 variation	K267	K267_nob1
JU2853	13.640972843743828	0.5658781853732363	No ben-1 variation	K267	K267_nob1
JU2862	18.982122437405923	0.5964037622374294	ben-1 variation	K267	K267_b1
JU2866	-3.3620453877873313	0.4687030490382104	No ben-1 variation	K267	K267_nob1
JU2878	-57.97869245868982	0.15655963702711836	No ben-1 variation	K267D	K267D_nob1
JU2879	-28.056116050686676	0.32757224210394575	No ben-1 variation	K267D	K267D_nob1
JU2906	9.638063476281268	0.5430008786372723	No ben-1 variation	K267	K267_nob1
JU2907	11.695695037449774	0.55476059239873865	No ben-1 variation	K267	K267_nob1
JU310	32.68217203978189	0.6747018720070627	No ben-1 variation	K267	K267_nob1
JU311	0.07350555236872591	0.48833780602367816	No ben-1 variation	K267	K267_nob1
JU3125	31.9184271633648	0.6703369403531415	ben-1 variation	K267E	K267E_b1
JU3127	-14.44675020873948	0.40535207878446955	No ben-1 variation	K267E	K267E_nob1
JU3128	29.225484259372966	0.6549463143904779	No ben-1 variation	K267	K267_nob1
JU3132	-16.59785902660105	0.39305812662840284	No ben-1 variation	K267E	K267E_nob1
JU3134	13.289226916270012	0.5638678976706581	No ben-1 variation	K267	K267_nob1
JU3135	23.588238860249984	0.6227284997204973	ben-1 variation	K267	K267_b1
JU3137	-5.625900814220029	0.4557647308695911	No ben-1 variation	K267	K267_nob1
JU3140	15.172438645912983	0.574630772478168	No ben-1 variation	K267	K267_nob1
JU3144	-31.54177515861724	0.3076511084311934	No ben-1 variation	K267E	K267E_nob1
JU323	0.2898578386609583	0.4895742960768297	No ben-1 variation	K267	K267_nob1
JU346	39.11700957597561	0.7114780611729233	ben-1 variation	K267	K267_b1
JU360	52.25692789289101	0.7865749255348908	ben-1 variation	K267D	K267D_b1
JU367	-26.78826011795136	0.33481825404365245	No ben-1 variation	K267	K267_nob1
JU393	-3.2767589334815406	0.4691904756063551	No ben-1 variation	K267E	K267E_nob1
JU394	-3.235468824137537	0.4694264555923878	No ben-1 variation	K267	K267_nob1
JU397	30.20135806278369	0.6605235988820253	No ben-1 variation	K267	K267_nob1
JU406	4.643421685558461	0.5144556527044999	No ben-1 variation	K267	K267_nob1
JU440	-2.098741666075715	0.47592304431894344	No ben-1 variation	K267	K267_nob1
JU561	29.1023269240277	0.6542424493066518	No ben-1 variation	K267	K267_nob1
JU642	20.740791986739563	0.6064548573369943	No ben-1 variation	K267	K267_nob1
JU751	19.26984781854776	0.5980481616469211	ben-1 variation	K267E	K267E_b1
JU774	-38.091621122538626	0.2702176265722398	No ben-1 variation	K267D	K267D_nob1
JU775	-32.72689247757073	0.3008779617184092	No ben-1 variation	K267D	K267D_nob1
JU778	7.88088503347562	0.5329583054647073	No ben-1 variation	K267	K267_nob1
JU792	13.376587163837904	0.5643671763194293	No ben-1 variation	K267	K267_nob1
JU830	41.336551784750405	0.7241631217781669	ben-1 variation	K267	K267_b1
JU847	29.122758962140928	0.6543592218738642	No ben-1 variation	K267	K267_nob1
KR314	49.55621784306081	0.7711399090148863	ben-1 variation	K267	K267_b1
LKC34	29.669805562035833	0.6574856860817199	No ben-1 variation	K267	K267_nob1
MY1	-9.751447645839516	0.4321865302019173	No ben-1 variation	K267	K267_nob1
MY10	-40.152624086534644	0.25843864467114414	No ben-1 variation	K267E	K267E_nob1
MY16	51.38947792883697	0.7816173016958218	ben-1 variation	K267D	K267D_b1
MY18	58.44399799355761	0.821935081735376	ben-1 variation	K267D	K267D_b1
MY2212	17.9351256024742	0.590419997543926	No ben-1 variation	K267	K267_nob1
MY23	52.57737882682366	0.7884063570354374	ben-1 variation	K267D	K267D_b1
MY2453	67.82985392427702	0.8755768421139647	ben-1 variation	K267	K267_b1
MY2530	-4.146713770930782	0.4642185359905006	No ben-1 variation	K267	K267_nob1
MY2535	1.6823087330374045	0.4975323893787548	No ben-1 variation	K267	K267_nob1
MY2573	-4.048818017738469	0.46477802684286246	No ben-1 variation	K267	K267_nob1
MY2585	13.302002973968545	0.5639409150098019	No ben-1 variation	K267	K267_nob1
MY2693	12.768111920467254	0.5608896369834202	No ben-1 variation	K267	K267_nob1
MY2741	-48.938598340852174	0.20822530993413557	No ben-1 variation	K267D	K267D_nob1
MY518	58.28139800115519	0.8210057951690369	ben-1 variation	K267	K267_b1
MY679	66.27066831686037	0.866665831615173	ben-1 variation	K267	K267_b1
MY772	-7.050390106078432	0.44762353268588134	No ben-1 variation	K267	K267_nob1
MY920	-9.652728438573313	0.4327507272341354	No ben-1 variation	K267	K267_nob1
N2	-13.317113000677818	0.4118081472428885	No ben-1 variation	K267	K267_nob1
NIC1	21.370519964266506	0.6100538596574576	No ben-1 variation	K267	K267_nob1
NIC1049	-6.627866274543099	0.45003832812838124	No ben-1 variation	K267	K267_nob1
NIC1107	56.443982478311284	0.8105046534596588	ben-1 variation	K267	K267_b1
NIC166	13.635180978135304	0.5658450838778148	No ben-1 variation	K267	K267_nob1
NIC195	-17.125347640530972	0.3900434396313168	No ben-1 variation	K267E	K267E_nob1
NIC199	-5.117630237759535	0.4586695835192834	No ben-1 variation	K267E	K267E_nob1
NIC2	-2.5871379179568472	0.47313177680891666	No ben-1 variation	K267	K267_nob1
NIC207	8.294802353131727	0.535323913230417	No ben-1 variation	K267	K267_nob1
NIC231	15.605316815780347	0.5771047447224198	No ben-1 variation	K267	K267_nob1
NIC236	1.077934738050637	0.4940782893736586	No ben-1 variation	K267	K267_nob1
