Metadata_Plate,Metadata_Well,Metadata_Experiment,bleach,drug,strain,mean_wormlength_um,min_wormlength_um,q10_wormlength_um,q25_wormlength_um,median_wormlength_um,sd_wormlength_um,q75_wormlength_um,q90_wormlength_um,max_wormlength_um,cv_wormlength_um,n,Metadata_Date,Metadata_Group,Metadata_Magnification,FileName_RawBF,FileName_wellmask_98.png,PathName_RawBF,PathName_wellmask_98.png,assay_type,food_conc_OD,food_type,plate,row,col,well_censor,well_censor_reason,notes,concentration_um,diluent,class,...18
p001,A01,cyp35,1,DMSO,ECA3359,845.337620040033,807.173940779121,808.985612661557,811.703120485212,816.232300191303,58.4324580153862,864.419459670489,893.331755358001,912.606619149675,0.0691232196818817,3,20220617,p001_A01,m2X,20220617-cyp35-p001-m2X_A01.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,1,,,,0,DMSO,Both,""
p001,A03,cyp35,1,DMSO,ECA2922,733.434041733421,169.043104087573,328.872475237356,594.848612567178,888.379949688499,265.666625919058,906.637122214231,924.05379335527,933.636156884723,0.36222292776481,15,20220617,p001_A03,m2X,20220617-cyp35-p001-m2X_A03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,3,,,,0,DMSO,Both,""
p001,A04,cyp35,1,DMSO,ECA2921,943.221154940755,911.425486347854,918.037268424768,927.811665299939,939.85373563849,25.4872097371975,954.04959967245,961.3771632327,1001.744941232,0.0270214568488961,10,20220617,p001_A04,m2X,20220617-cyp35-p001-m2X_A04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,4,,,,0,DMSO,Both,""
p001,A05,cyp35,1,DMSO,ECA2860,823.232974855055,529.248919010047,718.128250989743,761.481814145333,853.271847176536,96.985301933105,889.020906058262,920.289832042243,935.867442648969,0.11781027351362,23,20220617,p001_A05,m2X,20220617-cyp35-p001-m2X_A05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,5,,,,0,DMSO,Both,""
p001,A06,cyp35,1,DMSO,ECA2859,853.034662537395,806.583238507209,832.28734364441,842.000184467473,853.519816831062,22.3615570485928,863.360755729802,876.838859839998,881.171032936664,0.0262141247368274,9,20220617,p001_A06,m2X,20220617-cyp35-p001-m2X_A06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,6,,,,0,DMSO,Both,""
p001,A07,cyp35,1,DMSO,PHX2702,873.84718485037,826.645268353098,829.590895404154,834.009335980738,858.083274907707,51.1842805390232,901.464064145332,930.006014177118,949.033980864975,0.0585734913682735,5,20220617,p001_A07,m2X,20220617-cyp35-p001-m2X_A07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,7,,,,0,DMSO,Both,""
p001,A08,cyp35,1,DMSO,PHX2701,835.481485704738,729.007577620184,747.556010860629,805.492027143449,842.040345568733,62.6210777555372,874.786021453212,907.105464190034,921.403543823194,0.0749520831125488,10,20220617,p001_A08,m2X,20220617-cyp35-p001-m2X_A08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,8,,,,0,DMSO,Both,""
p001,A09,cyp35,1,DMSO,DL238,846.141712902451,795.80318735916,801.121765542288,815.205958192029,833.894735407663,44.2066631625895,889.812480311359,897.096813992938,922.339225964438,0.0522449874394573,9,20220617,p001_A09,m2X,20220617-cyp35-p001-m2X_A09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,9,,,,0,DMSO,Both,""
p001,A10,cyp35,1,DMSO,CB4856,806.373571384106,500.352054328518,576.494374022534,734.320038317851,882.402300978923,173.700885960444,914.555552076938,935.440538007185,964.109463591718,0.21540994413085,7,20220617,p001_A10,m2X,20220617-cyp35-p001-m2X_A10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,10,,,,0,DMSO,Both,""
p001,A11,cyp35,1,DMSO,N2,649.921131028304,200.772309491224,214.291315490311,229.285499412527,828.120020345561,304.894689298018,857.279812559069,886.467874865078,904.814560519414,0.469125675011696,13,20220617,p001_A11,m2X,20220617-cyp35-p001-m2X_A11.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,11,,,,0,DMSO,Both,""
p001,B03,cyp35,1,DMSO,ECA2922,700.789915375217,177.762842524659,260.011814417498,461.91557918765,899.314781123705,312.032189487408,935.441676694631,956.629000485344,995.828626983362,0.445257819271471,12,20220617,p001_B03,m2X,20220617-cyp35-p001-m2X_B03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,3,,,,0,DMSO,Both,""
p001,B04,cyp35,1,DMSO,ECA2921,952.018473862679,876.124170871787,888.197144348885,935.019761014236,958.117463216854,39.0926054224783,975.285328308356,987.601073881074,1017.63970725184,0.0410628643201278,18,20220617,p001_B04,m2X,20220617-cyp35-p001-m2X_B04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,4,,,,0,DMSO,Both,""
p001,B05,cyp35,1,DMSO,ECA2860,848.763183669971,704.772091326542,730.193556731715,820.71091671087,879.053595927077,72.8937062714169,897.662050940191,915.491097470245,926.866602301071,0.0858822668959691,17,20220617,p001_B05,m2X,20220617-cyp35-p001-m2X_B05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,5,,,,0,DMSO,Both,""
p001,B06,cyp35,1,DMSO,ECA2859,853.104896522714,725.090455176186,775.537196214353,815.696627025842,865.148169584212,58.8010385209724,897.358700785958,909.193042466893,943.959433690355,0.0689259184429108,20,20220617,p001_B06,m2X,20220617-cyp35-p001-m2X_B06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,6,,,,0,DMSO,Both,""
p001,B07,cyp35,1,DMSO,PHX2702,841.935863619767,682.630371826633,747.03994333064,825.091915986524,877.577120485212,79.9477616421679,887.652653912457,900.804069758898,907.854413228564,0.0949570686993252,7,20220617,p001_B07,m2X,20220617-cyp35-p001-m2X_B07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,7,,,,0,DMSO,Both,""
p001,B08,cyp35,1,DMSO,PHX2701,594.29797283264,179.34731041094,276.886202120195,314.702089285314,696.124444986886,257.107736060582,766.531081987703,845.491933751526,856.716559355722,0.432624285819306,9,20220617,p001_B08,m2X,20220617-cyp35-p001-m2X_B08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,8,,,,0,DMSO,Both,""
p001,B09,cyp35,1,DMSO,DL238,739.000882847982,289.788803625919,432.785171461697,620.648062750028,871.118535989509,222.921855611521,893.746444986887,923.74232051766,941.028625246594,0.301653030172872,13,20220617,p001_B09,m2X,20220617-cyp35-p001-m2X_B09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,9,,,,0,DMSO,Both,""
p001,B10,cyp35,1,DMSO,CB4856,924.621324732823,840.893491137465,859.144049953963,884.104108243969,927.60766908931,58.2099604030593,966.564587292085,985.861240236713,1002.97525383188,0.0629554595443487,8,20220617,p001_B10,m2X,20220617-cyp35-p001-m2X_B10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,10,,,,0,DMSO,Both,""
p001,B11,cyp35,1,DMSO,N2,826.169018259136,547.94806499116,682.911027931213,788.916933457692,863.069525491536,100.32564495878,888.75594556654,907.587328151577,960.757325010479,0.12143477029698,20,20220617,p001_B11,m2X,20220617-cyp35-p001-m2X_B11.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,11,,,,0,DMSO,Both,""
p001,C03,cyp35,1,DMSO,ECA2922,906.086352633288,838.883764145333,840.833938541137,849.741329454359,927.149954883611,51.5595704851774,944.882831685323,952.731574032063,973.709031191127,0.0569035946025827,9,20220617,p001_C03,m2X,20220617-cyp35-p001-m2X_C03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,3,,,,0,DMSO,Both,""
p001,C04,cyp35,1,DMSO,ECA2921,963.83443457803,895.288019875136,908.330406464223,942.141709958988,963.232351529362,45.3009076300773,992.747493681378,1007.87828820331,1035.86895676453,0.0470007150656639,8,20220617,p001_C04,m2X,20220617-cyp35-p001-m2X_C04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,4,,,,0,DMSO,Both,""
p001,C05,cyp35,1,DMSO,ECA2860,862.100037458859,803.11533351851,814.212611377362,841.995846743145,862.005282068281,33.6764637465491,888.103037495402,907.250753325734,912.338264727179,0.0390632899701691,24,20220617,p001_C05,m2X,20220617-cyp35-p001-m2X_C05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,5,,,,0,DMSO,Both,""
p001,C06,cyp35,1,DMSO,ECA2859,889.602551260695,807.544419783173,853.223264258194,872.334305733618,890.40944791954,38.396581001593,899.325521648904,933.843426956932,968.645562981641,0.0431615005455859,17,20220617,p001_C06,m2X,20220617-cyp35-p001-m2X_C06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,6,,,,0,DMSO,Both,""
p001,C07,cyp35,1,DMSO,PHX2702,850.858752368235,676.54481880914,785.392562037736,849.200459243971,867.251408773875,70.7918754884766,880.41616849856,920.068722054057,920.695432936665,0.0832005021884517,10,20220617,p001_C07,m2X,20220617-cyp35-p001-m2X_C07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,7,,,,0,DMSO,Both,""
p001,C08,cyp35,1,DMSO,PHX2701,896.194636718287,877.25542698336,878.3205152,879.918147524961,893.666626696823,20.6401887547932,909.943115890148,916.091166253744,920.18986649614,0.0230309219773665,4,20220617,p001_C08,m2X,20220617-cyp35-p001-m2X_C08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,8,,,,0,DMSO,Both,""
p001,C09,cyp35,1,DMSO,DL238,861.218236739321,758.373711459605,814.559781302563,841.199500030795,869.191176904132,48.0817468438522,890.213039434063,909.499090157946,924.662632433713,0.0558299218394349,10,20220617,p001_C09,m2X,20220617-cyp35-p001-m2X_C09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,9,,,,0,DMSO,Both,""
p001,C10,cyp35,1,DMSO,CB4856,938.47904022822,869.61712220252,905.659158099692,916.453299394997,938.401835531545,33.6486422835815,957.847796497027,982.293891356582,1000.23176707799,0.0358544419653729,16,20220617,p001_C10,m2X,20220617-cyp35-p001-m2X_C10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,10,,,,0,DMSO,Both,""
p001,C11,cyp35,1,DMSO,N2,880.501075932394,835.995537144431,862.360698181916,868.932884265144,879.418403912457,23.7172456557935,889.316644371329,913.401017292291,918.029521620674,0.0269360779947696,10,20220617,p001_C11,m2X,20220617-cyp35-p001-m2X_C11.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,C,11,,,,0,DMSO,Both,""
p001,D01,cyp35,1,DMSO,ECA3359,181.123989987259,181.123989987259,181.123989987259,181.123989987259,181.123989987259,,181.123989987259,181.123989987259,181.123989987259,,1,20220617,p001_D01,m2X,20220617-cyp35-p001-m2X_D01.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,1,,,,0,DMSO,Both,""
p001,D03,cyp35,1,DMSO,ECA2922,942.137429812393,872.08928905823,893.995442012395,923.207590403235,944.666858080608,37.8082827646295,975.227080250936,977.422489427391,982.208192883003,0.0401303266044299,9,20220617,p001_D03,m2X,20220617-cyp35-p001-m2X_D03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,3,,,,0,DMSO,Both,""
p001,D04,cyp35,1,DMSO,ECA2921,944.715595693651,837.467900944006,890.007686891589,929.947962808324,947.937203792884,47.9343483862826,986.373012629153,989.258492145703,1003.74604382319,0.0507394485756183,12,20220617,p001_D04,m2X,20220617-cyp35-p001-m2X_D04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,4,,,,0,DMSO,Both,""
p001,D05,cyp35,1,DMSO,ECA2860,882.063418977436,760.690946150579,789.097088353099,873.342005253129,887.293058235863,52.5246119847202,918.896383974654,929.400777178529,955.858592883004,0.059547432593465,20,20220617,p001_D05,m2X,20220617-cyp35-p001-m2X_D05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,5,,,,0,DMSO,Both,""
p001,D06,cyp35,1,DMSO,ECA2859,874.374385892113,758.592564755409,796.968207166083,851.141190128782,878.944875537517,55.3134928496242,902.578078082812,937.017820133783,971.305591566926,0.0632606509775427,18,20220617,p001_D06,m2X,20220617-cyp35-p001-m2X_D06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,6,,,,0,DMSO,Both,""
p001,D07,cyp35,1,DMSO,PHX2702,784.340267711124,582.43743351851,651.158532171872,701.001527455348,779.096104506014,117.587331594741,875.165957298463,921.046422633216,946.445644986887,0.149918774332327,14,20220617,p001_D07,m2X,20220617-cyp35-p001-m2X_D07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,7,,,,0,DMSO,Both,""
p001,D08,cyp35,1,DMSO,PHX2701,873.641223972694,838.49593424397,846.383495417032,858.214837176624,858.976997672615,31.7035548766889,896.149879516705,908.281034558817,916.368471253558,0.0362889868366374,5,20220617,p001_D08,m2X,20220617-cyp35-p001-m2X_D08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,8,,,,0,DMSO,Both,""
p001,D09,cyp35,1,DMSO,DL238,890.171640910439,809.514701298535,829.545744230486,860.296972963538,896.766411746142,48.2867067037679,934.6954660539,943.818717207139,947.712982721934,0.0542442653580626,10,20220617,p001_D09,m2X,20220617-cyp35-p001-m2X_D09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,9,,,,0,DMSO,Both,""
p001,D10,cyp35,1,DMSO,CB4856,950.268500221176,853.786483092403,882.220540691122,917.859838756775,968.274368353098,52.5193384656557,983.298754852647,994.567171979018,1019.70623061805,0.0552678937094429,11,20220617,p001_D10,m2X,20220617-cyp35-p001-m2X_D10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,10,,,,0,DMSO,Both,""
p001,D11,cyp35,1,DMSO,N2,855.372039716456,709.067589276543,761.780023400965,825.838471343866,869.513892795005,79.3393208027519,910.671838089006,925.626409894943,936.002177077899,0.092754166747199,7,20220617,p001_D11,m2X,20220617-cyp35-p001-m2X_D11.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,D,11,,,,0,DMSO,Both,""
p001,E03,cyp35,1,DMSO,ECA2922,933.694006746765,867.568241934041,883.217595257559,923.299013542179,935.685541065658,36.1386444967369,954.033496434924,975.757637420583,984.7428683531,0.0387050192414251,12,20220617,p001_E03,m2X,20220617-cyp35-p001-m2X_E03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,3,,,,0,DMSO,Both,""
p001,E04,cyp35,1,DMSO,ECA2921,936.272707414096,842.52614077035,895.081853500779,912.344146184289,944.088249194652,39.2254282510856,966.183605618051,973.199876947678,985.873087511547,0.0418953024481754,14,20220617,p001_E04,m2X,20220617-cyp35-p001-m2X_E04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,4,,,,0,DMSO,Both,""
p001,E05,cyp35,1,DMSO,ECA2860,868.155500653115,787.936689257085,831.840949427391,855.33061561166,873.512956916916,29.9862505730578,884.641508702069,903.130019575845,912.007231199897,0.0345401838155711,19,20220617,p001_E05,m2X,20220617-cyp35-p001-m2X_E05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,5,,,,0,DMSO,Both,""
p001,E06,cyp35,1,DMSO,ECA2859,673.838642466805,169.767850246923,209.634853992073,542.677228819206,805.608810934219,278.298702254294,851.70034260181,895.002143022965,949.305471253559,0.413004961002966,15,20220617,p001_E06,m2X,20220617-cyp35-p001-m2X_E06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,6,,,,0,DMSO,Both,""
p001,E07,cyp35,1,DMSO,PHX2702,787.041632377602,270.2205185766,528.122896416884,753.715716249216,877.471859937567,198.172244523851,905.203398245691,929.65053620114,979.594203035303,0.2517938522835,17,20220617,p001_E07,m2X,20220617-cyp35-p001-m2X_E07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,7,,,,0,DMSO,Both,""
p001,E08,cyp35,1,DMSO,PHX2701,781.379750679112,688.241306517608,703.411718012676,726.167335255278,790.964455176186,77.8676949333476,813.276553402418,858.260083187411,888.249103044073,0.0996540988753179,5,20220617,p001_E08,m2X,20220617-cyp35-p001-m2X_E08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,8,,,,0,DMSO,Both,""
p001,E09,cyp35,1,DMSO,DL238,890.51608443483,798.126304780841,828.989926759394,869.720463773832,903.296511459605,40.3808228982802,918.369928975553,926.621943447118,946.168271867598,0.0453454166680303,23,20220617,p001_E09,m2X,20220617-cyp35-p001-m2X_E09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,9,,,,0,DMSO,Both,""
p001,E10,cyp35,1,DMSO,CB4856,686.018893292155,165.437752597729,178.006288926802,375.710013306279,903.136517067233,344.620460221176,946.531826376792,962.969681473088,965.214744405041,0.502348351613711,10,20220617,p001_E10,m2X,20220617-cyp35-p001-m2X_E10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220622_cyp35d1/raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,E,10,,,,0,DMSO,Both,""
