date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y	.std.resid
20210222	thia	1	a	2	tbz325	DMSO	N2	A	1	n	-7.298932826215133	-0.05720476037857556	-0.05686751477264438	-0.07461133715138091
20210222	thia	1	a	2	tbz325	DMSO	CB4856	A	3	n	102.51543247387244	0.971888130991305	0.9661584504637344	1.0514425524134252
20210222	thia	1	a	2	tbz325	DMSO	ECA238	A	4	n	-189.06284384729068	-1.7111040500801837	-1.7010163874739685	-1.9373477932521908
20210222	thia	1	a	2	tbz325	DMSO	ECA239	A	5	n	-84.94410626331394	-0.7922711113570641	-0.7876003470843442	-0.8684678252972156
20210222	thia	1	a	2	tbz325	DMSO	N2	B	1	n	-126.29893282621514	-1.1506159574590806	-1.1438326028362977	-1.2910561698980711
20210222	thia	1	a	2	tbz325	DMSO	CB4856	B	3	n	-63.48456752612756	-0.5533745472890528	-0.5501121765830419	-0.6511251438708635
20210222	thia	1	a	2	tbz325	DMSO	ECA238	B	4	n	29.93715615270932	0.3011400857234485	0.2993647409793087	0.3067693377951314
20210222	thia	1	a	2	tbz325	DMSO	ECA239	B	5	n	-21.944106263313934	-0.21340635996149854	-0.2121482416388809	-0.2243563571734466
20210222	thia	1	a	2	tbz325	DMSO	N2	C	1	n	50.701067173784864	0.4757183440808413	0.47291378865333733	0.5182777409940618
20210222	thia	1	a	2	tbz325	DMSO	CB4856	C	3	n	-75.48456752612756	-0.6636344999358272	-0.6597221014297968	-0.7742023267347881
20210222	thia	1	a	2	tbz325	DMSO	ECA238	C	4	n	-29.06284384729068	-0.24097134812319213	-0.23955072285056964	-0.29781016326327964
20210222	thia	1	a	2	tbz325	DMSO	ECA239	C	5	n	29.055893736686066	0.25519843878729254	0.2536939389598275	0.29706721226008065
20210222	thia	1	a	2	tbz325	DMSO	N2	D	1	n	68.70106717378486	0.6411082730510028	0.6373286759234696	0.702277799728855
20210222	thia	1	a	2	tbz325	DMSO	CB4856	D	3	n	50.51543247387244	0.49409500285530367	0.49118210946112983	0.5181080933364192
20210222	thia	1	a	2	tbz325	DMSO	ECA238	D	4	n	62.93715615270932	0.604354955502078	0.6007920343078846	0.6449239739803443
20210222	thia	1	a	2	tbz325	DMSO	ECA239	D	5	n	48.055893736686066	0.4297766971446853	0.4272429866338561	0.4913230518529633
20210222	thia	1	a	2	tbz325	DMSO	N2	E	1	n	50.701067173784864	0.4757183440808413	0.47291378865333733	0.5182777409940618
20210222	thia	1	a	2	tbz325	DMSO	CB4856	E	3	n	196.51543247387244	1.8355910933910586	1.8247695284299812	2.015547151514167
20210222	thia	1	a	2	tbz325	DMSO	ECA238	E	4	n	47.93715615270932	0.4665300146936101	0.4637796282494411	0.49121732116888384
20210222	thia	1	a	2	tbz325	DMSO	ECA239	E	5	n	-17.944106263313934	-0.17665304241257374	-0.17561160002329593	-0.18346039094336603
20210222	thia	1	a	2	tbz325	DMSO	N2	F	1	n	-212.29893282621512	-1.9408122847609637	-1.9293703975713745	-2.170167561630972
20210222	thia	1	a	2	tbz325	DMSO	CB4856	F	3	n	-44.48456752612756	-0.37879628893166006	-0.3765631289090132	-0.4562529376696497
20210222	thia	1	a	2	tbz325	DMSO	ECA238	F	4	n	-39.06284384729068	-0.3328546419955041	-0.330892326889532	-0.4002812651375866
