strain	generation	rep	condition	fractional abundance	meanab	sdab
CB4856	1	1	DMSO	0.469337979	52.57588042	5.157168843
CB4856	1	10	DMSO	0.575686733	52.57588042	5.157168843
CB4856	1	2	DMSO	0.519518212	52.57588042	5.157168843
CB4856	1	3	DMSO	0.491578535	52.57588042	5.157168843
CB4856	1	4	DMSO	0.508835673	52.57588042	5.157168843
CB4856	1	5	DMSO	0.474113241	52.57588042	5.157168843
CB4856	1	6	DMSO	0.5356623	52.57588042	5.157168843
CB4856	1	7	DMSO	0.48698072	52.57588042	5.157168843
CB4856	1	8	DMSO	0.630174375	52.57588042	5.157168843
CB4856	1	9	DMSO	0.565700274	52.57588042	5.157168843
CB4856	1	1	TBZ	0.37654321	37.31115334	5.106140752
CB4856	1	10	TBZ	0.265807612	37.31115334	5.106140752
CB4856	1	2	TBZ	0.376084345	37.31115334	5.106140752
CB4856	1	3	TBZ	0.36794048	37.31115334	5.106140752
CB4856	1	4	TBZ	0.390189932	37.31115334	5.106140752
CB4856	1	5	TBZ	0.454685395	37.31115334	5.106140752
CB4856	1	6	TBZ	0.402359804	37.31115334	5.106140752
CB4856	1	7	TBZ	0.315875204	37.31115334	5.106140752
CB4856	1	8	TBZ	0.400806994	37.31115334	5.106140752
CB4856	1	9	TBZ	0.380822358	37.31115334	5.106140752
N2	1	1	DMSO	0.425180599	46.14587586	5.556370152
N2	1	10	DMSO	0.452750353	46.14587586	5.556370152
N2	1	2	DMSO	0.369350863	46.14587586	5.556370152
N2	1	3	DMSO	0.406019957	46.14587586	5.556370152
N2	1	4	DMSO	0.545198932	46.14587586	5.556370152
N2	1	5	DMSO	0.532365314	46.14587586	5.556370152
N2	1	6	DMSO	0.430204859	46.14587586	5.556370152
N2	1	7	DMSO	0.489268121	46.14587586	5.556370152
N2	1	8	DMSO	0.491927512	46.14587586	5.556370152
N2	1	9	DMSO	0.472321076	46.14587586	5.556370152
N2	1	1	TBZ	0.457490451	46.47590468	3.523658175
N2	1	10	TBZ	0.422869653	46.47590468	3.523658175
N2	1	2	TBZ	0.401063663	46.47590468	3.523658175
N2	1	3	TBZ	0.448793737	46.47590468	3.523658175
N2	1	4	TBZ	0.467467949	46.47590468	3.523658175
N2	1	5	TBZ	0.508976318	46.47590468	3.523658175
N2	1	6	TBZ	0.469514668	46.47590468	3.523658175
N2	1	7	TBZ	0.471544715	46.47590468	3.523658175
N2	1	8	TBZ	0.483363751	46.47590468	3.523658175
N2	1	9	TBZ	0.516505563	46.47590468	3.523658175
PHX2701	1	1	DMSO	0.480748075	52.2733627	3.994458398
