Genotype,exposure,TBZ,TBZ.OH,TBZ.O.glucoside,TBZ.O.phosphoglucoside
CB4856,2,8.603263589,6.332995235,6.459005821,6.958088589
CB4856,2,8.899166399,6.506823432,6.606809404,7.136468437
CB4856,2,9.801763794,6.48214433,6.645568871,7.073855243
CB4856,2,8.847130364,6.522715209,6.597436195,7.156484472
CB4856,2,8.856815689,6.481108764,6.63130387,7.219446669
CB4856,2,8.793862704,6.45196619,6.598020711,7.057772723
CB4856,2,8.978813013,6.31880737,6.385372137,6.974533855
CB4856,2,9.13984174,6.426159541,6.589697681,7.060806795
CB4856,2,9.342319697,6.439606895,6.555356032,7.005998543
N2,2,8.736212693,6.779442816,6.912261434,7.24297825
N2,2,8.566814463,6.663544392,6.873395325,7.24485208
N2,2,8.766465295,6.811619937,6.882354155,7.313722186
N2,2,8.508587073,6.931200559,6.877698946,7.004029642
N2,2,8.412029741,6.85963887,6.876717925,6.992979666
N2,2,8.463600543,6.94314423,6.941339524,7.207326808
N2,2,9.716680816,6.630949141,6.685950322,7.229903198
N2,2,9.346416353,6.501270303,6.6416193,7.14357147
N2,2,9.47847523,6.459736602,6.538706714,7.140203168
PHX2702,2,8.491496417,6.190911101,6.536613867,7.196808881
PHX2702,2,8.435948328,6.210786345,6.67051633,7.194231274
PHX2702,2,8.105467863,6.171260647,6.526236483,7.255367834
PHX2702,2,8.428938486,6.298126606,6.645608053,7.238491386
PHX2702,2,8.400464218,6.187128081,6.530557412,7.132010098
PHX2702,2,8.496456303,6.331269786,6.569645078,7.140913863
PHX2702,2,8.877860519,6.327073783,6.548028526,7.150289853
PHX2702,2,8.976925596,6.248494462,6.612400765,7.187829033
PHX2702,2,9.259292787,6.28952512,6.539870742,7.030541595
PHX2883,2,8.163570365,6.136730195,6.387409531,7.263586046
PHX2883,2,8.304683738,6.051200935,6.39476374,7.213105104
PHX2883,2,8.946049424,6.345011157,6.469813814,7.259202967
PHX2883,2,8.42274112,6.241011338,6.347983647,7.005594383
PHX2883,2,8.264160252,6.152094908,6.253160365,6.985431632
PHX2883,2,8.351003675,6.26616395,6.345501661,7.04257478
PHX2883,2,8.66050465,6.367064226,6.729343788,7.363869097
PHX2883,2,8.584806404,6.363559302,6.716067909,7.337730659
PHX2883,2,8.844700861,6.396765906,6.627871811,7.268987854
CB4856,6,7.971978071,6.481134831,6.941542788,7.638962664
CB4856,6,8.489392444,6.761711728,7.190072981,7.777786257
CB4856,6,9.694700757,6.65282262,6.929131912,7.620686776
CB4856,6,8.759625302,6.717373637,6.969463164,7.55349016
CB4856,6,8.872464535,6.728934176,6.840738427,7.503224121
CB4856,6,8.81985002,6.800858074,7.100883559,7.662342912
CB4856,6,8.600957296,6.619308971,6.716589591,7.364570244
CB4856,6,8.653861425,6.654387288,6.759806245,7.4161171
CB4856,6,8.657168633,6.662497903,6.681810634,7.36022924
N2,6,7.986947847,6.727473992,6.985974635,7.645786169
N2,6,7.74957826,6.785858462,6.870893556,7.568118784
N2,6,7.857228885,6.787978399,6.945033642,7.582462675
N2,6,8.531189812,6.906647537,7.050684342,7.57774765
N2,6,8.40553625,6.916448784,7.116320623,7.575885778
N2,6,8.35065893,6.902432531,7.030389934,7.454694077
N2,6,9.275775595,7.102613576,6.918197141,7.520241938
N2,6,8.959868622,6.76814402,6.992469144,7.634523411
N2,6,9.213248482,6.858390812,6.956376172,7.608635776
PHX2702,6,7.787217535,6.363797241,7.026151632,7.712675463
PHX2702,6,7.731128874,6.404674678,7.035148715,7.758630032
PHX2702,6,8.215091392,6.432247725,7.103958916,7.779086292
PHX2702,6,8.57886421,6.656129025,7.086650242,7.637654943
PHX2702,6,8.573196711,6.579731764,6.81269981,7.536955308
PHX2702,6,8.689989474,6.638330293,6.855836919,7.537644275
PHX2702,6,8.72450357,6.698419203,6.839399423,7.561869991
PHX2702,6,8.758825982,6.886132846,6.991637147,7.587690075
PHX2702,6,8.586247881,6.686138412,6.69378463,7.391896228
PHX2883,6,8.342654459,6.519780691,6.927242792,7.702119207
PHX2883,6,7.817298508,6.529833228,6.992485844,7.749917367
PHX2883,6,7.578352319,6.316694982,6.741238658,7.524461636
PHX2883,6,8.227803031,6.506276462,6.593794011,7.352364236
PHX2883,6,8.347116305,6.577257285,6.627147842,7.43410852
PHX2883,6,8.218385578,6.502191055,6.609299496,7.363527616
PHX2883,6,8.415085832,6.69261851,6.941921911,7.506082691
PHX2883,6,8.339270711,6.742960527,6.949432533,7.529670841
PHX2883,6,8.640082737,6.800158328,6.96985915,7.592597506
