Metadata_Plate,Metadata_Well,Metadata_Experiment,bleach,drug,strain,mean_wormlength_um,min_wormlength_um,q10_wormlength_um,q25_wormlength_um,median_wormlength_um,sd_wormlength_um,q75_wormlength_um,q90_wormlength_um,max_wormlength_um,cv_wormlength_um,n,Metadata_Date,Metadata_Group,Metadata_Magnification,FileName_RawBF,FileName_wellmask_98.png,PathName_RawBF,PathName_wellmask_98.png,assay_type,food_conc_OD,food_type,plate,row,col,well_censor,well_censor_reason,notes,concentration_um,diluent,class,dose.rank
p001,A01,cypassay1,1,Thiabendazole,CB4856,792.577068611343,599.379968353098,719.370930845251,734.063103561438,815.162661124681,77.3043772658437,840.506519133979,867.135345219625,894.27139346485,0.0975354704638212,15,20220920,p001_A01,m2x,20220920-cypassay1-p001-m2x_A01.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,1,,,,32.5,DMSO,Anthelmintic,1
p001,A02,cypassay1,1,Thiabendazole,CB4856,831.181450029061,783.302219875135,808.628253939564,813.859744686877,830.835111459605,23.8926824659978,848.286671766136,852.259085382009,877.80289346485,0.0287454471766212,14,20220920,p001_A02,m2x,20220920-cypassay1-p001-m2x_A02.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,2,,,,32.5,DMSO,Anthelmintic,1
p001,A03,cypassay1,1,Thiabendazole,CB4856,776.143807315315,697.770593926504,723.53276349168,727.089527121448,762.015584172164,58.3827341251037,832.013277320428,843.565453593631,901.189826992132,0.0752215421611748,16,20220920,p001_A03,m2x,20220920-cypassay1-p001-m2x_A03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,3,,,,32.5,DMSO,Anthelmintic,1
p001,A04,cypassay1,1,Thiabendazole,CB4856,848.005897689778,833.175871979019,835.633004497264,843.507119300347,849.016079382552,8.98346086928308,853.297849540459,857.039090876117,863.594831781744,0.0105936301784654,12,20220920,p001_A04,m2x,20220920-cypassay1-p001-m2x_A04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,4,,,,32.5,DMSO,Anthelmintic,1
p001,A05,cypassay1,1,Thiabendazole,CB4856,821.912747118822,691.272534825816,757.119111110497,771.702265309026,836.486207251839,58.2289943103441,869.148970098637,884.751304345841,906.8585658821,0.0708457126555868,25,20220920,p001_A05,m2x,20220920-cypassay1-p001-m2x_A05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,5,,,,32.5,DMSO,Anthelmintic,1
p001,A06,cypassay1,1,Thiabendazole,CB4856,825.445613259158,741.336965914293,779.000900156822,797.004695496877,827.872444986887,40.9966732310199,853.832239216795,865.761639677861,895.191062399795,0.0496661107315722,14,20220920,p001_A06,m2x,20220920-cypassay1-p001-m2x_A06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,6,,,,32.5,DMSO,Anthelmintic,1
p001,A07,cypassay1,1,Thiabendazole,CB4856,805.28594246399,703.33375094019,740.445622301157,754.076870602443,800.078731486435,57.3072300701772,860.932448674702,873.254593115743,876.858257056567,0.0711638277142032,22,20220920,p001_A07,m2x,20220920-cypassay1-p001-m2x_A07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,7,,,,32.5,DMSO,Anthelmintic,1
p001,A08,cypassay1,1,Thiabendazole,CB4856,805.501358383087,719.490663880101,732.264835795031,743.957030546244,833.337928900743,59.4214153300744,854.036447672616,877.379606609038,884.624369516791,0.0737694787372591,19,20220920,p001_A08,m2x,20220920-cypassay1-p001-m2x_A08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,8,,,,32.5,DMSO,Anthelmintic,1
p001,A09,cypassay1,1,Thiabendazole,CB4856,825.518203648365,727.971386929699,748.723551545458,787.040546150579,842.097141942813,52.0124700977686,861.688952820572,879.441425828439,889.048288675238,0.0630058427154002,21,20220920,p001_A09,m2x,20220920-cypassay1-p001-m2x_A09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,9,,,,32.5,DMSO,Anthelmintic,1
p001,A10,cypassay1,1,Thiabendazole,CB4856,844.457264388264,783.867329454359,802.989977346691,836.258012657007,846.013251808574,29.5775572687167,860.263879239926,873.810006947432,893.609326410286,0.0350255229199113,14,20220920,p001_A10,m2x,20220920-cypassay1-p001-m2x_A10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf/projects/20220929_cyprd1redo//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,10,,,,32.5,DMSO,Anthelmintic,1
